metric,top_n,years,avg_alpha_spx,win_spx_%,avg_alpha_univ,train_alpha_spx,test_alpha_spx,test_win_spx_%
hist_spend_z,10,4,11.06,100.0,8.39,8.74,13.37,100.0
accel_score,10,5,10.53,80.0,8.59,5.67,17.83,100.0
sector_spike_z,10,5,8.71,60.0,6.76,7.39,10.69,100.0
yoy_pct,10,5,6.53,60.0,4.58,4.92,8.95,50.0
qoq_pct,10,6,5.59,66.7,5.92,5.58,5.59,50.0
mcap_ratio_yoy_pct,10,5,4.0,60.0,3.38,4.92,2.62,50.0
hist_spend_z,20,4,8.22,75.0,5.55,9.11,7.33,100.0
accel_score,20,5,5.61,60.0,3.67,4.69,6.98,100.0
yoy_pct,20,5,4.79,60.0,2.85,1.62,9.56,100.0
qoq_pct,20,6,3.29,50.0,3.62,2.45,4.98,50.0
mcap_ratio_yoy_pct,20,5,1.36,40.0,0.74,1.62,0.98,50.0
sector_spike_z,20,5,0.54,60.0,-1.4,-1.72,3.93,100.0
yoy_pct,30,5,5.85,60.0,3.91,3.97,8.67,100.0
hist_spend_z,30,4,4.29,75.0,1.62,4.91,3.67,100.0
accel_score,30,5,2.7,40.0,0.76,1.13,5.04,50.0
qoq_pct,30,6,2.07,50.0,2.4,2.97,0.27,50.0
sector_spike_z,30,5,1.93,40.0,-0.01,0.51,4.05,50.0
mcap_ratio_yoy_pct,30,5,1.54,40.0,0.92,3.97,-2.12,50.0
